日付,死亡頭数,導入頭数,出荷頭数,移動頭数
2025-01-06,8,0,490,0
2025-01-07,10,0,380,0
2025-01-08,7,0,0,0
2025-01-09,12,450,0,0
2025-01-10,9,1050,0,40
2025-01-11,6,0,0,0
2025-01-12,11,0,0,0
2025-01-13,14,0,610,0
2025-01-14,8,0,530,0
2025-01-15,10,420,0,0
2025-01-16,7,980,0,40
2025-01-17,9,0,0,0
2025-01-18,13,0,0,0
2025-01-19,11,0,120,0
2025-01-20,15,0,490,0
2025-01-21,8,0,400,0
2025-01-22,12,380,0,0
2025-01-23,10,1060,0,40
2025-01-24,6,0,0,0
2025-01-25,9,0,0,0
2025-01-26,14,0,150,0
2025-01-27,11,0,600,0
2025-01-28,7,0,480,0
2025-01-29,13,410,0,0
2025-01-30,10,1070,270,40
2025-01-31,8,0,0,0
